Method,Name,Error,Occurrences
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 277'),29
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 358'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 372'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 266'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 369'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 164'),29
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 312'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 375'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 124'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 259'),47
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 391'),47
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 202'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 305'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 272'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 382'),53
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 210'),49
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 209'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 361'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 166'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 118'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 226'),30
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 345'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 122'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 129'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 255'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 370'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 114'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 262'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 393'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 302'),30
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 212'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 192'),50
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 324'),57
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 310'),40
