Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764160478,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764160479,10,,Aggregated,0.000000,0.000000,30,36,40,46,51,71,71,71,71,71,71,14,1,30,30.146981142869272,6.202273000099012,71.00247500011392,6136.142857142857
1764160480,20,,Aggregated,0.000000,0.000000,26,29,30,30,40,51,71,71,71,71,71,36,7,23,21.6186599444528,4.904465999970853,71.00247500011392,4296.75
1764160481,30,,Aggregated,11.000000,0.000000,9,29,34,40,46,51,59,71,71,71,71,68,18,9,21.30547842647743,4.580490000080317,71.00247500011392,4222.75
1764160482,40,,Aggregated,13.500000,2.500000,8,25,29,30,43,49,55,59,71,71,71,107,28,8,18.170773747661453,4.580490000080317,71.00247500011392,4184.915887850468
1764160483,50,,Aggregated,18.333333,5.333333,8,22,29,32,40,46,51,59,71,71,71,151,40,8,17.216971894036845,4.234682999822326,71.00247500011392,4381.801324503312
1764160484,60,,Aggregated,23.500000,6.250000,7,11,26,29,38,45,51,55,71,71,71,203,57,7,15.486032581276529,4.1750549999051145,71.00247500011392,4190.384236453202
1764160485,70,,Aggregated,27.000000,7.400000,7,9,23,26,35,43,50,55,71,71,71,268,76,7,14.088856361938928,4.1750549999051145,71.00247500011392,4041.1828358208954
1764160486,80,,Aggregated,29.500000,8.000000,7,8,18,24,32,40,49,51,71,71,71,342,98,7,13.056615450291805,4.1750549999051145,71.00247500011392,3980.1637426900584
1764160487,90,,Aggregated,34.142857,10.000000,7,8,13,22,32,40,46,51,71,71,71,418,123,7,12.734521162676291,4.1750549999051145,71.00247500011392,3935.803827751196
1764160488,100,,Aggregated,38.625000,11.375000,7,8,10,19,30,38,46,50,71,71,71,502,152,7,11.971630900391853,4.1750549999051145,71.00247500011392,3979.0019920318723
1764160489,110,,Aggregated,42.000000,12.000000,7,8,9,16,30,37,45,50,71,71,71,596,177,7,11.461798021808123,3.664894999928947,71.00247500011392,4039.8137583892617
1764160490,120,,Aggregated,46.100000,13.700000,7,8,9,15,30,37,45,49,71,71,71,699,209,7,11.4346044177365,3.664894999928947,71.00247500011392,3980.3276108726755
1764160491,130,,Aggregated,53.700000,16.300000,7,8,9,14,30,38,45,48,71,71,71,804,235,7,11.473405830843918,3.664894999928947,71.00247500011392,4004.6169154228855
