Method,Name,Error,Occurrences
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 60'),43
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 93'),35
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 290'),35
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 301'),33
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 137'),42
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 388'),42
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 231'),42
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 135'),36
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 77'),34
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 178'),49
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 255'),34
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 152'),35
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 59'),29
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 202'),56
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 39'),35
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 367'),29
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 159'),34
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 24'),25
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 121'),45
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 199'),30
POST,SOAP - Listar Músicas de Playlist,CatchResponseError('Status code: 200 for playlist 3'),40
